Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Burtonwood, UK",null,Burtonwood,,,United Kingdom,8,"53.417605, -2.639522",12,Construction,null,SC,forum
"Greenville, AL",null,Greenville,AL,36037,USA,6,"31.855989, -86.635765",145,Open,null,SC,thread
"Morioka, Japan",null,Morioka,,,Japan,6,"39.685291, 141.127986",1,Open,null,SC,forum
"Zella-Mehlis, Germany",null,Zella-Mehlis,,98544,Germany,6,"50.643912, 10.68499",544,Open,null,SC,thread
"Warsaw, NC",null,Warsaw,NC,28398,USA,6,"34.994272, -78.136679",47,Open,null,SC,thread
"Grong, Norway",null,Grong,,7870,Norway,8,"64.464932, 12.315369",43,Open,null,SC,forum
"Keith, Australia",null,Keith,SA,5267,Australia,4,"-36.099079, 140.35576",32,Permit,null,SC,thread
"Tanum, Sweden",null,Tanum,,45732,Sweden,16,"58.72117, 11.34538",49,Open,null,SC,thread
"Charlotte, NC",null,Charlotte,NC,28262,USA,8,"35.341213, -80.766023",232,Open,null,SC,thread
"Shenzhen - Futian Tianan Cyber Park, China",null,Shenzhen,Guangdong,,China,6,"22.52968, 114.031258",10,Open,null,SC,forum
"Brattleboro, VT",null,Brattleboro,VT,5301,USA,8,"42.838443, -72.565798",129,Open,null,SC,thread
"Macedonia, OH",null,Macedonia,OH,44056,USA,6,"41.313663, -81.517018",296,Open,null,SC,thread
"Euroa, Australia",null,Euroa,VIC,3666,Australia,2,"-36.742663, 145.591278",177,Open,null,SC,thread
"Kingston, ON",null,Kingston,ON,K7K 0C4,Canada,6,"44.267307, -76.503291",90,Open,null,SC,thread
"Daegu, South Korea",null,?????,,,South Korea,6,"35.907022, 128.613115",35,Open,null,SC,forum
"Channelview, TX",null,Channelview,TX,77530,USA,8,"29.784665, -95.110612",7,Open,null,SC,forum
"Sheridan, WY",null,Sheridan,WY,82801,USA,4,"44.804565, -106.956363","1,136",Open,null,SC,thread
"Nephi, UT",null,Nephi,UT,84648,USA,6,"39.678397, -111.840704","1,555",Open,null,SC,thread
"Monte Ceneri/Rivera, Switzerland",null,Rivera,,,Switzerland,6,"46.138926, 8.90781",473,Open,null,SC,thread
"St. Pölten, Austria",null,St. Pölten,,,Austria,8,"48.205831, 15.618567",271,Construction,null,SC,forum
"Edsbruk, Sweden",null,Edsbruk,,590 98,Sweden,6,"57.97985, 16.482407",25,Open,null,SC,thread
"Uppsala, Sweden",null,Uppsala,,,Sweden,8,"59.939568, 17.657669",29,Permit,null,SC,forum
"Shenzhen - Yayuan Hotel, China",null,Shenzhen,Guangdong,,China,6,"22.555546, 114.12735",23,Open,null,SC,forum
"Grand Ave (SC), Chicago, IL",null,Chicago,IL,60642,USA,2,"41.890732, -87.654125",181,Open,null,SC,thread
"Chambéry, France",null,Chambéry,,73000,France,4,"45.592227, 5.899842",256,Open,null,SC,forum
"Aqaba, Jordan",null,Aqaba,,,Jordan,4,"29.599653, 35.027267",84,Open,null,SC,thread
"Wilnsdorf, Germany",null,Wilnsdorf,,57234,Germany,8,"50.816873, 8.08576",436,Open,null,SC,forum
"Madison, WI",null,Madison,WI,53704,USA,3,"43.12669, -89.306896",267,Open,null,SC,thread
"Huabo Witpark, Nanjing, China",null,Nanjing,Jiangsu,,China,2,"31.974527, 118.77493",20,Open,null,SC,forum
"Masdar City, UAE",null,Abu Dhabi,,,United Arab Emirates,4,"24.440819, 54.618899",4,Open,null,SC,thread
"Miner, MO",null,Miner,MO,63801,USA,8,"36.893583, -89.533986",94,Open,null,SC,thread
"Oftringen, Switzerland",null,Oftringen,,,Switzerland,8,"47.311977, 7.934988",424,Permit,null,SC,forum
"Aire de Manissieux, France",null,Saint-Priest,,,France,6,"45.69848, 4.977541",240,Open,null,SC,forum
"Chongqing Fortune Plaza, China",null,Chongqing,Chongqing,610016,China,6,"29.608009, 106.509449",238,Open,null,SC,forum
"Guangzhou White Swan Hotel, China",null,Guangzhou,Guangdong,,China,4,"23.105297, 113.243889",14,Open,null,SC,forum
"Warwick Northbound, UK",null,Warwick,,CV35 0AA,United Kingdom,8,"52.216831, -1.50513",83,Open,null,SC,forum
"Sequim, WA",null,Sequim,WA,98382,USA,8,"48.071232, -123.074527",54,Open,null,SC,thread
"Wausau, WI",null,Wausau,WI,54401,USA,2,"44.950214, -89.6635",356,Open,null,SC,thread
"Ann Arbor, MI",null,Ann Arbor,MI,48108,USA,8,"42.240687, -83.766265",282,Open,null,SC,thread
"Syosset, NY",null,Syosset,NY,11791,USA,4,"40.799839, -73.515267",56,Open,null,SC,thread
"Ballarat, Australia",null,Ballarat,Victoria,3355,Australia,6,"-37.534593, 143.822666",464,Open,null,SC,thread
"Parry Sound, ON",null,Parry Sound,ON,,Canada,8,"45.345576, -80.005751",228,Open,null,SC,thread
Shanghai-Jinqiao,null,Shanghai,Shanghai,,China,12,"31.242916, 121.575329",4,Open,null,SC,forum
Quanshang Plaza Quanzhou,null,Quanzhou,Fujian,362200,China,4,"24.868315, 118.604556",3,Open,null,SC,forum
